contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,bs_price
AAPL250307C00120000,2025-03-03 20:44:54+00:00,120.0,116.65,115.25,116.6,0.0,0.0,1,2,3.250001875,True,REGULAR,USD,88.62922664876959
AAPL250307C00130000,2025-02-24 15:57:53+00:00,130.0,117.4,105.25,106.55,0.0,0.0,1,3,2.843752890625,True,REGULAR,USD,77.92466838075958
AAPL250307C00140000,2025-03-05 15:34:25+00:00,140.0,92.0,95.25,96.55,-6.050003,-6.1703243,2,46,2.5195349511718748,True,REGULAR,USD,67.97988098310812
AAPL250307C00145000,2025-02-07 16:55:25+00:00,145.0,84.24,90.25,91.65,0.0,0.0,3,1,2.455081987304688,True,REGULAR,USD,64.4903589719857
AAPL250307C00150000,2025-02-28 20:59:54+00:00,150.0,91.6,85.25,86.5,0.0,0.0,20,9,2.1679733300781248,True,REGULAR,USD,57.227674061245665
AAPL250307C00155000,2025-02-28 20:34:55+00:00,155.0,84.18,80.25,81.55,0.0,0.0,6,9,2.0742235644531246,True,REGULAR,USD,53.15913609334385
AAPL250307C00160000,2025-02-28 17:24:52+00:00,160.0,77.31,75.25,76.6,0.0,0.0,1,21,1.97265638671875,True,REGULAR,USD,48.954908455838904
AAPL250307C00165000,2025-03-05 20:02:14+00:00,165.0,70.97,70.25,71.65,-2.3199997,-3.1655064,1,6,1.8671881640625,True,REGULAR,USD,44.68248662796276
AAPL250307C00170000,2025-03-03 19:51:29+00:00,170.0,70.85,65.2,66.55,0.0,0.0,16,28,1.623048759765625,True,REGULAR,USD,37.752619678405964
AAPL250307C00175000,2025-03-04 15:14:00+00:00,175.0,64.2,60.25,61.65,0.0,0.0,1,280,1.5937520312499998,True,REGULAR,USD,34.94835547477558
AAPL250307C00180000,2025-03-05 20:48:12+00:00,180.0,55.57,55.25,56.6,-2.0999985,-3.6414056,4,93,1.43359658203125,True,REGULAR,USD,29.617734544660152
AAPL250307C00185000,2025-03-05 20:46:54+00:00,185.0,50.5,50.2,51.3,-2.6899986,-5.0573397,30,88,0.92187578125,True,REGULAR,USD,17.099883245585332
AAPL250307C00190000,2025-03-05 17:49:43+00:00,190.0,44.5,45.3,46.6,-5.049999,-10.191725,9,176,1.205082099609375,True,REGULAR,USD,20.96986464891384
AAPL250307C00195000,2025-03-05 16:41:28+00:00,195.0,39.66,40.3,41.3,-6.040001,-13.216633,162,251,0.9023447265625,True,REGULAR,USD,12.974174948572085
AAPL250307C00200000,2025-03-05 19:15:48+00:00,200.0,36.55,35.25,36.3,-1.8699989,-4.8672543,135,300,0.7421900781249999,True,REGULAR,USD,8.249918785365914
AAPL250307C00205000,2025-03-04 17:52:49+00:00,205.0,26.52,30.2,31.7,-5.0599995,-16.022797,1,321,0.8339860351562498,True,REGULAR,USD,8.661324040244388
AAPL250307C00210000,2025-03-05 17:01:00+00:00,210.0,24.7,25.2,26.7,-4.25,-14.680483,11,284,0.711916943359375,True,REGULAR,USD,5.313065190854267
AAPL250307C00212500,2025-03-05 19:34:29+00:00,212.5,23.4,22.85,23.9,-0.75,-3.10559,93,14,0.6015664843750002,True,REGULAR,USD,3.1407103610479368
