contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL250307P00100000,2025-03-05 14:30:06+00:00,100.0,0.01,0.0,0.01,0.0,0.0,1.0,1563,2.8750028125,False,REGULAR,USD
AAPL250307P00110000,2025-02-21 20:43:58+00:00,110.0,0.01,0.0,0.01,0.0,0.0,309.0,309,2.56250359375,False,REGULAR,USD
AAPL250307P00120000,2025-02-25 18:08:17+00:00,120.0,0.01,0.0,0.01,0.0,0.0,3.0,456,2.2500043749999996,False,REGULAR,USD
AAPL250307P00130000,2025-02-21 19:57:46+00:00,130.0,0.01,0.0,0.01,0.0,0.0,50.0,59,2.000005,False,REGULAR,USD
AAPL250307P00140000,2025-02-24 16:26:53+00:00,140.0,0.02,0.0,0.01,0.0,0.0,10.0,317,1.78125109375,False,REGULAR,USD
AAPL250307P00145000,2025-03-04 14:46:35+00:00,145.0,0.01,0.0,0.01,0.0,0.0,1.0,907,1.6875015625,False,REGULAR,USD
AAPL250307P00150000,2025-02-28 20:13:20+00:00,150.0,0.01,0.0,0.01,0.0,0.0,586.0,731,1.5625021874999998,False,REGULAR,USD
AAPL250307P00155000,2025-03-03 20:23:18+00:00,155.0,0.01,0.0,0.02,0.0,0.0,127.0,1514,1.5312523437499999,False,REGULAR,USD
AAPL250307P00160000,2025-03-03 20:23:15+00:00,160.0,0.01,0.0,0.02,0.0,0.0,59.0,848,1.4375028125,False,REGULAR,USD
AAPL250307P00165000,2025-03-03 20:23:08+00:00,165.0,0.01,0.0,0.01,0.0,0.0,127.0,2222,1.2500037499999999,False,REGULAR,USD
AAPL250307P00170000,2025-03-05 18:07:18+00:00,170.0,0.01,0.0,0.01,0.0,0.0,137.0,1807,1.15625421875,False,REGULAR,USD
AAPL250307P00175000,2025-03-05 17:51:36+00:00,175.0,0.01,0.0,0.01,0.0,0.0,342.0,1855,1.0625046875000002,False,REGULAR,USD
AAPL250307P00180000,2025-03-05 20:10:39+00:00,180.0,0.01,0.0,0.01,0.0,0.0,647.0,1713,0.9687503125,False,REGULAR,USD
AAPL250307P00185000,2025-03-05 20:44:31+00:00,185.0,0.01,0.0,0.01,-0.02,-66.66667,1656.0,1777,0.87500125,False,REGULAR,USD
AAPL250307P00190000,2025-03-05 20:44:32+00:00,190.0,0.01,0.02,0.24,-0.02,-66.66667,166.0,2204,1.12109814453125,False,REGULAR,USD
AAPL250307P00195000,2025-03-05 20:23:54+00:00,195.0,0.02,0.01,0.02,-0.02,-50.0,340.0,2991,0.7656273437500001,False,REGULAR,USD
