contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,bs_price,nn_price,bs_error,nn_error,mispricing,trade_signal
AAPL250307C00120000,2025-03-03 20:44:54+00:00,120.0,116.65,115.25,116.6,0.0,0.0,1,2,3.250001875,True,REGULAR,USD,88.62922664876959,118.70147,28.020773351230417,2.051469421386713,2.051469999999995,BUY
AAPL250307C00130000,2025-02-24 15:57:53+00:00,130.0,117.4,105.25,106.55,0.0,0.0,1,3,2.843752890625,True,REGULAR,USD,77.92466838075958,107.261826,39.47533161924042,10.138174438476568,-10.138174000000006,SELL
AAPL250307C00140000,2025-03-05 15:34:25+00:00,140.0,92.0,95.25,96.55,-6.050003,-6.1703243,2,46,2.5195349511718748,True,REGULAR,USD,67.97988098310812,96.63118,24.020119016891883,4.6311798095703125,4.6311800000000005,BUY
AAPL250307C00145000,2025-02-07 16:55:25+00:00,145.0,84.24,90.25,91.65,0.0,0.0,3,1,2.455081987304688,True,REGULAR,USD,64.4903589719857,92.27898,19.749641028014292,8.038976440429693,8.03898000000001,BUY
AAPL250307C00150000,2025-02-28 20:59:54+00:00,150.0,91.6,85.25,86.5,0.0,0.0,20,9,2.1679733300781248,True,REGULAR,USD,57.22767406124567,86.65173,34.37232593875432,4.948266601562494,-4.948269999999994,SELL
AAPL250307C00155000,2025-02-28 20:34:55+00:00,155.0,84.18,80.25,81.55,0.0,0.0,6,9,2.0742235644531246,True,REGULAR,USD,53.15913609334385,82.13885,31.02086390665616,2.041152648925788,-2.041150000000002,SELL
AAPL250307C00160000,2025-02-28 17:24:52+00:00,160.0,77.31,75.25,76.6,0.0,0.0,1,21,1.97265638671875,True,REGULAR,USD,48.9549084558389,77.58102,28.355091544161105,0.2710165405273415,0.27101999999999293,HOLD
AAPL250307C00165000,2025-03-05 20:02:14+00:00,165.0,70.97,70.25,71.65,-2.3199997,-3.1655064,1,6,1.8671881640625,True,REGULAR,USD,44.68248662796276,73.00075,26.28751337203724,2.030747680664064,2.0307499999999976,BUY
AAPL250307C00170000,2025-03-03 19:51:29+00:00,170.0,70.85,65.2,66.55,0.0,0.0,16,28,1.623048759765625,True,REGULAR,USD,37.75261967840597,67.61951,33.097380321594024,3.2304931640624943,-3.230489999999989,SELL
AAPL250307C00175000,2025-03-04 15:14:00+00:00,175.0,64.2,60.25,61.65,0.0,0.0,1,280,1.5937520312499998,True,REGULAR,USD,34.94835547477558,63.285503,29.25164452522442,0.914496612548831,-0.9144970000000043,SELL
